BGP4MP|01/01/17 12:15:01|A|193.203.0.91|13237|192.108.199.0/24|13237 2603 1653 1880|IGP
BGP4MP|01/01/17 12:15:02|A|193.203.0.91|13237|113.212.196.0/23|13237 1299 2914 10098|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90af::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90af::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ae::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ae::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ad::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ad::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:9081::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:9081::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90a6::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90a6::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:15:03|A|193.203.0.91|13237|192.108.199.0/24|13237 2603 1880|IGP
BGP4MP|01/01/17 12:15:03|A|193.203.0.91|13237|192.108.199.0/24|13237 1299 1257 1880|IGP
BGP4MP|01/01/17 12:15:03|A|193.203.0.185|6939|93.181.192.0/19|6939 12389 44237 13118|IGP
BGP4MP|01/01/17 12:15:03|A|193.203.0.91|13237|93.181.192.0/19|13237 6939 12389 44237 13118|IGP
BGP4MP|01/01/17 12:15:03|A|193.203.0.91|13237|192.108.199.0/24|13237 2603 1880|IGP
BGP4MP|01/01/17 12:15:03|A|193.203.0.91|13237|192.108.199.0/24|13237 1299 1257 1880|IGP
BGP4MP|01/01/17 12:15:03|A|193.203.0.91|13237|192.108.199.0/24|13237 2603 1880|IGP
BGP4MP|01/01/17 12:15:03|W|193.203.0.91|13237|192.108.199.0/24
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90af::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90af::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ae::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ae::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90a6::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90a6::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:9081::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:9081::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ad::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ad::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|193.203.0.91|13237|192.108.199.0/24|13237 2603 1880|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90af::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90af::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ae::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ae::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ad::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ad::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:9081::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:9081::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90a6::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:15:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90a6::/48|13030 2914 4230 28573|IGP
