BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90af::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ae::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ae::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ad::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90ad::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:9081::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:9081::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90a6::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:90a6::/48|13030 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:04|STATE|193.203.0.82|20920|2|3
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2a07:b8c3:4::/48|13030 1299 3356 4230 14043|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2a07:b8c3:4::/48|13030 1299 3356 4230 14043|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:baa2::/48|13030 1299 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:baa2::/48|13030 1299 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 1299 174 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 1299 174 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2a07:b8c3:4::/48|13030 2914 4230 14043|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2a07:b8c3:4::/48|13030 2914 4230 14043|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:baa2::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d:baa2::/48|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 2914 4230 28573|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 12859 12654|IGP
BGP4MP|01/01/17 12:00:04|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 12859 12654|IGP
BGP4MP|01/01/17 12:00:05|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d::/40|6939 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:05|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d::/40|6939 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:05|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 1299 174 4230 28573|IGP
BGP4MP|01/01/17 12:00:05|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 1299 174 4230 28573|IGP
BGP4MP|01/01/17 12:00:05|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 1299 174 4230 28573|IGP
BGP4MP|01/01/17 12:00:05|A|2001:7f8:30:0:2:1:1:3030|13030|2804:14d::/40|13030 1299 174 4230 28573|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.91|13237|199.245.187.0/24|13237 6939 7850 5726 3832|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.91|13237|198.148.151.0/24|13237 6939 7850 5726 3832|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.185|6939|199.245.187.0/24|6939 7850 5726 3832|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.185|6939|198.148.151.0/24|6939 7850 5726 3832|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.91|13237|199.245.187.0/24|13237 6939 7850 5726 3832|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.91|13237|198.148.151.0/24|13237 6939 7850 5726 3832|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.91|13237|184.164.243.0/24|13237 12859 47065|IGP
BGP4MP|01/01/17 12:00:06|A|2001:7f8:30:0:2:1:1:3030|13030|2a06:dd80::/29|13030 31216 203544|IGP
BGP4MP|01/01/17 12:00:06|A|2001:7f8:30:0:2:1:1:3030|13030|2a06:dd80::/29|13030 31216 203544|IGP
BGP4MP|01/01/17 12:00:06|A|2001:7f8:30:0:2:1:0:6939|6939|2a06:dd80::/29|6939 31216 203544|IGP
BGP4MP|01/01/17 12:00:06|A|2001:7f8:30:0:2:1:0:6939|6939|2a06:dd80::/29|6939 31216 203544|IGP
BGP4MP|01/01/17 12:00:06|A|193.203.0.91|13237|192.166.96.0/22|13237 3257 51088|IGP
BGP4MP|01/01/17 12:00:06|A|2001:7f8:30:0:2:1:1:3030|13030|2a06:dd80::/29|13030 31216 203544|IGP
BGP4MP|01/01/17 12:00:06|A|2001:7f8:30:0:2:1:1:3030|13030|2a06:dd80::/29|13030 31216 203544|IGP
BGP4MP|01/01/17 12:00:07|STATE|193.203.0.43|12605|3|2
BGP4MP|01/01/17 12:00:07|STATE|193.203.0.43|12605|2|3
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58:8000::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58:8000::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:0:6939|6939|2804:c58::/33|6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:0:6939|6939|2804:c58::/33|6939 262429 12989 16735 52694|IGP
